Tale,preprocessed_tale
"Снежинка на ладошке Снежинка упала ко мне на ладошку, Её я согрею дыханьем немножко. Снежинка, ты в прятки решила играть? Тебя на ладошке моей не видать. ",снежинка ладошка снежинка упасть ладошка согреть дыхание немножко снежинка прятки решить играть ладошка мой видать
"Снежинки танцуют Снежинки танцуют: летают и кружатся, На солнце  в морозный денёк серебрятся. Ажурные платья, резные косынки... Волшебное зимнее чудо – снежинки. ",снежинка танцевать снежинка танцевать летать кружиться солнце морозный денёк серебриться ажурный платье резной косынка волшебный зимний чудо снежинка
"Откуда снежинки? Кто вяжет снежинки и с неба бросает? Узоров таких даже мама не знает И пряжи нигде не встречали такой - Наш город весь белый, слегка голубой. А, может быть, их вырезают из ситца И тихо спускают ко мне на ресницы? Слезой на щеках они медленно тают... Откуда снежинки? Хоть кто-нибудь знает?  ",откуда снежинка вязать снежинка небо бросать узор такой мама знать пряжа нигде встречать наш город весь белый слегка голубой вырезать ситец тихо спускать ресница слеза щека медленно таять откуда снежинка знать
"Мы снежинки Мы снежинки, мы пушинки, Покружиться мы не прочь. Мы снежинки-балеринки, Мы танцуем день и ночь. Встанем вместе мы в кружок - Получается снежок. Мы деревья побелили, Крыши пухом замели. Землю бархатом укрыли И от стужи сберегли.  ",снежинка снежинка пушинка покружиться прочь танцевать день ночь встать вместе кружок получаться снежок дерево побелить крыша пух замелить земля бархат укрыть стужа сберечь
"Светлое зимнее чудо Плавно снежинка спустилась в ладонь, Шепчет тихонько: ""Меня ты не тронь. Дунь осторожно, и я улечу - К синему небу подняться хочу."" Первый пушистый и белый снежок - Светлое зимнее чудо, дружок. ",светлый зимний чудо плавно снежинка спуститься ладонь шептать тихонько тронуть дунуть осторожно улететь синий небо подняться хотеть первый пушистый белый снежок светлый зимний чудо дружок
"Про Снегурочку Она в сапожках белых И в шубке голубой Букет снежинок спелых Приносит нам с тобой. Белым-бела до пояса Роскошная коса И теплые-претеплые Лучистые глаза. В прозрачных льдинках варежки И шапочка на ней. Нам свет и радость даришь ты, Любимица детей. (автор: Татьяна Гусарова) ",снегурочка сапожок белый шубка голубой букет снежинка спелый приносить мы ты пояс роскошный коса лучистый глаз прозрачный льдинка варежка шапочка мы свет радость дарить любимица ребёнок автор татьяна гусаров
"Я снегурочку слепила У подъезда, на площадке Собрала я снег лопаткой. Хоть не много снега было, Я снегурочку слепила. В коридор поставила, А она … растаяла! ",снегурочка слепить подъезд площадка собрать снег лопатка снег снегурочка слепить коридор поставить растаять
"Загадка с ответом Снегурочка Вся в снежинках, лед искрится На ее ресницах, На санях по снегу мчится, Кони — словно птицы! В гости к нам она летит, Эй, не стойте на пути! В белой шубке, как принцесса, В теплых рукавицах, Мимо сказочного леса К нам на елку мчится! И красива, и стройна, Так скажите — кто она? ",загадка ответ снегурочка весь снежинка лёд искриться ресница сани снег мчаться конь словно птица гость мы лететь стоить путь белый шубка принцесса тёплый рукавица мимо сказочный лес мы ёлка мчаться красивый стройный сказать
"Девочка из снега Девочка из снега или изо льда. К нам она приходит в Новый год всегда. С дедушкой подарки щедро раздает, Водит хороводы, песенки поет. Мы ее Снегурочкой ласково зовем. И в волшебный праздник в гости очень ждем. С нею озорницей некогда скучать. Новый год с ней очень весело встречать. ",девочка снег девочка снег из лёд мы приходить новый год дедушка подарок щедро раздавать водить хоровод песенка петь снегурочка ласково звать волшебный праздник гость очень ждать она озорница некогда скучать новый год очень весело встречать
"Какие синие бездонные глаза Какие синие бездонные глаза, Какая светлая, пушистая коса! Какая шубка: серебро и бирюза! Такая юркая и озорная вся. Снегурочка на праздник к нам пришла, И собрала всех деток в хоровод. Она из снега, но полна тепла. И любит ее сказочный народ. ",какой синий бездонный глаз какой синий бездонный глаз светлый пушистый коса шубка серебро бирюза такой юркать озорной весь снегурочка праздник мы прийти собрать ребёночек хоровод снег полный тепло любить сказочный народ
"Снежная девочка Снежная девочка с сердцем горячим. Это Снегурочка. Как же иначе? Добрая, милая и озорная. Все мы ее хорошо очень знаем. С дедом приходит она каждый год. С ним нам кульки и подарки несет. С нами не против она поиграть, Песню нам спеть иль стишок рассказать. ",снежный девочка снежный девочка сердце горячий это снегурочка иначе добрый милый озорной очень знать дед приходить каждый год мы кулёк подарок нести мы против поиграть песня мы спеть иль стишок рассказать
"Снегурочкины дела У снегурочки с утра Новогодних дел гора. Нужно снежной бахромой Ей украсить лес родной. Для зверят пирог испечь И фонарики зажечь, А потом на праздник к детям В золотой лететь карете! ",снегурочкин дело снегурочка утро новогодний дело гора нужно снежный бахрома украсить лес родный зверёнок пирог испечь фонарик зажечь праздник ребёнок золотой лететь карета
"Я живу у Дедушки Мороза Я живу у Дедушки, Дедушки Мороза Личико румяное и щечки словно розы.  Мне косички белые вьюга заплетала, Красивые узоры на шубке рисовала. Тетушка Метелица связала руковички Я девочка снегурочка, самой зимы сестричка. ",жить дедушка мороз жить дедушка дедушка мороз личико румяный щёчка словно роза косичка белые вьюга заплетать красивый узор шубка рисовать тётушка метелица связать руковичка девочка снегурочка сам зима сестричка
"Дед Мороз шалит, как маленький Дед Мороз, хоть старенький,  Но шалит, как маленький:  Щиплет щеки, нос щекочет,  Ухватить за уши хочет.  Дед Мороз, в лицо не дуй,  Хватит, слышишь,  Не балуй! ",дед мороз шалить маленький дед мороз старенький шалить маленький щипать щека нос щекотать ухватить ухо хотеть дед мороз лицо дуть хватить слышать баловать
"Добрый Дедушка Мороз Добрый Дедушка Мороз  Бородою весь оброс.  Он спешит сегодня слишком  Вместе с внучкою к детишкам.  С неба падает снежок,  А у дедушки - мешок.  В нём он каждому из нас  По подарочку припас. ",добрый дедушка мороз добрый дедушка мороз борода весь обрасти спешить сегодня слишком вместе внучка детишки небо падать снежок дедушка мешок он каждый подарочек припасти
"Мой папа - Дед Мороз Добрый дедушка Мороз  Мне щенка в мешке принес,  Но какой-то странный дед,  В шубу мамину одет,  А глаза его большие  Как у папы голубые.  Это папа, я молчу,  Втихомолку хохочу,  Пусть позабавляются,  Может сам признается. ",папа дед мороз добрый дедушка мороз щенок мешок принести странный дед шуба мамин одетый глаз больший папа голубой это папа молчать втихомолку хохотать пусть позабавляться признаваться
"Дедушка Мороз У этого дедушки много внучат, Внучата на дедушку часто ворчат. На улице дедушка к ним пристает, За пальцы хватает, за ушки дерет. Но вечер счастливый приходит в году - Сердитого дедушку в гости я жду. Подарки приносит и добрый на вид, И все веселятся - никто не ворчит. ",дедушка мороз дедушка внучатый внучатый дедушка часто ворчать улица дедушка приставать палец хватать ушко драть вечер счастливый приходить год сердитый дедушка гость ждать подарок приносить добрый вид веселиться никто ворчать
"Борода и красный нос Шубка, шапка, рукавички.  На носу сидят синички.  Борода и красный нос -  Это Дедушка Мороз! ",борода красный нос шубка шапка рукавичка нос сидеть синичка борода красный нос это дедушка мороз
"Я веселый Дед Мороз Я веселый Дед Мороз, К вам пришел сегодня,  Я подарки вам принес В праздник новогодний! Крикнем громко все УРА! Подарки раздавать пора! ",весёлый дед мороз весёлый дед мороз прийти сегодня подарок принести праздник новогодний крикнуть громко ура подарок раздавать пора
"Кто пришел? Кто пришел? Что принес? Знаем мы: Дед Мороз, Дед седой, С бородой, Он наш гость дорогой. Он нам елку зажжет, С нами песни споет. ",прийти прийти принести знать дед мороз дед седой борода наш гость дорога мы ёлка зажечь мы песня спеть
"Дед Мороз – Кто в нарядной теплой шубе, С длинной белой бородой, В Новый год приходит в гости, И румяный, и седой? Он играет с нами, пляшет, С ним и праздник веселей! – Дед Мороз на елке нашей Самый главный из гостей! ",дед мороз нарядный тёплый шуба длинный белый борода новый год приходить гость румяный седой играть мы плясать праздник веселеть дед мороз ёлка наш самый главный гость
"К нам на елку К нам на елку – ой-ой-ой! Дед Мороз идет живой. Ну и дедушка Мороз! Что за щеки, что за нос! Борода-то, борода! А на шапке-то звезда! На носу-то крапины! А глаза-то... папины! ",мы ёлка мы ёлка дед мороз идти живой дедушка мороз щека нос борода звезда крапина папин
"Если кончится мороз Если кончится мороз, Снег растает белый, Что же дедушка Мороз Бедный станет делать? Побежит с него вода Ручейками на пол, С бороды его тогда Тоже станет капать? Добрый дедушка Мороз, Миленький, любименький! Спрячься, дедушка Мороз, В нашем холодильнике! ",кончиться мороз кончиться мороз снег растаять белый дедушка мороз бедный стать делать побежать вода ручеёк пол борода стать капать добрый дедушка мороз миленький любименький спрячься дедушка мороз наш холодильник
"Скоро, скоро Новый год! Скоро, скоро Новый год! Скоро Дед Мороз придёт. Он подарки нам разносит И стихи читать нас просит. ",скоро скоро новый год скоро скоро новый год скоро дед мороз прийти подарок мы разносить стих читать просить
"Закружился хоровод Закружился хоровод, Льются песни звонко. Это значит - Новый год, Это значит - елка! ",закружиться хоровод закружиться хоровод литься песня звонко это значит новый год это значит ёлка
"Засверкай огнями елка Засверкай огнями елка,  Нас на праздник позови!  Все желания исполни,  Все мечты осуществи! ",засверкать огонь ёлка засверкать огонь ёлка праздник позвать желание исполнить мечта осуществить
"Здравствуй, праздник новогодний Здравствуй, праздник новогодний,  Праздник ёлки и зимы!  Всех друзей своих сегодня  Позовём на ёлку мы. ",здравствуй праздник новогодний здравствуй праздник новогодний праздник ёлка зима друг свой сегодня позвать ёлка
"Здравствуй, праздничная ёлка Здравствуй, праздничная ёлка! Ждали мы тебя весь год!  Мы у ёлки новогодней  Водим дружный хоровод! ",здравствуй праздничный ёлка здравствуй праздничный ёлка ждать весь год ёлка новогодний водим дружный хоровод
"Смешные игрушки На ёлочке нашей смешные игрушки:  Смешные ежи и смешные лягушки,  Смешные медведи, смешные олени,  Смешные моржи и смешные тюлени.  Мы тоже немножко в масках смешны,  Смешными мы Деду Морозу нужны,  Чтоб радостно было, чтоб слышался смех,  Ведь праздник сегодня веселый у всех! ",смешной игрушка ёлочка наш смешной игрушка смешной ежи смешной лягушка смешной медведь смешной олень смешной морж смешной тюлень немножко маска смешной смешной дед мороз нужный радостно слышаться смех праздник сегодня весёлый
"Наша елка высока Наша елка высока,  Наша елка велика,  Выше мамы, выше папы,  Достает до потолка. ",наш ёлка высокий наш ёлка высокий наш ёлка большой выше мама выше папа доставать потолок
"Новый год я ждал давно Новый год я ждал давно,  На снежинки дул в окно  Во дворе растущей елке  Снегом посыпал иголки.  Если стукнет Дед Мороз,  Не замерзнет елкин нос. ",новый год ждать давно новый год ждать давно снежинка дуть окно двор расти ёлка снег посыпать иголка стукнуть дед мороз замёрзнуть ёлкин нос
Выбрал папа елочку Выбрал папа елочку Самую пушистую. Елочка так пахнет – Мама сразу ахнет! ,выбрать папа ёлочка выбрать папа ёлочка самый пушистый ёлочка пахнуть мама сразу ахнет
"Дед Мороз Дед Мороз идёт на праздник В красной шубе, в валенках, Он несёт с собой подарки Для детишек маленьких! ",дед мороз дед мороз идти праздник красный шуба валенок нести себя подарок детишки маленький
"Ёлочка, свети! Льется дождик золотой, С ёлочки стекая. Полюбуйтесь на неё: Вот она какая! Вся сверкает и цветёт Яркими огнями. Приглашает в хоровод Веселиться с нами. Новый год уже в пути, Скоро к нам приедет. Ярче, елочка, свети Ты на радость детям! ",ёлочка светить литься дождик золотой ёлочка стекать полюбоваться она весь сверкать цвести яркий огонь приглашать хоровод веселиться мы новый год путь скоро мы приехать яркий ёлочка светить радость ребёнок
"На весёлых детских ёлках На весёлых детских ёлках Чудеса блестят в иголках. Здесь, под ёлкой, в Новый год Каждый что-нибудь найдёт. Надо лишь заранее Загадать желание! ",весёлый детский ёлка весёлый детский ёлка чудо блестеть иголка ёлка новый год каждый найти лишь заранее загадать желание
"С елки свесились конфетки Елка вытянула ветки,  Пахнет лесом и зимой.  С елки свесились конфетки  И хлопушки с бахромой.  Мы похлопали в ладоши,  Встали дружно в хоровод...  Наступил такой хороший  И счастливый Новый год! ",ёлка свеситься конфетка ёлка вытянуть ветка пахнуть лес зимой ёлка свеситься конфетка хлопушка бахрома похлопать ладоши встать дружно хоровод наступить хороший счастливый новый год
"Елка новогодняя Елка новогодняя в комнате стоит  И, блестя игрушками, с нами говорит.  Вспоминает елочка с грустью зимний лес,  Полный звонких песенок, сказок и чудес.  Елка новогодняя, не грусти ты зря, -  Мы твои веселые, верные друзья.  Так сверкай же радугой праздничной для нас,  Будь счастливой, елочка, как и мы сейчас! ",ёлка новогодний ёлка новогодний комната стоить блестеть игрушка мы говорить вспоминать ёлочка грусть зимний лес полный звонкий песенка сказка чудо ёлка новогодний грусть зря твой весёлый верный друг сверкать радуга праздничный быть счастливый ёлочка
"На пушистой елке Новогодние деньки,  Снег морозный, колкий. Загорелись огоньки  На пушистой елке.  Шар качнулся расписной,  Бусы зазвенели.  Пахнет свежестью лесной  От пушистой ели. ",пушистый ёлка новогодний денёк снег морозный колкий загореться огонёк пушистый ёлка шар качнуться расписной бусы зазвенеть пахнуть свежесть лесной пушистый есть
"Чудо-ёлка Что за чудо, чудо-ёлка  Все зелёные иголки,  В бусинках и шариках,  В жёлтеньких фонариках! ",чудо зелёный иголка бусинка шарик жёлтенький фонарик
"Дед Мороз прислал нам елку Дед Мороз прислал нам елку, Огоньки на ней зажег. И блестят на ней иголки, А на веточках – снежок! ",дед мороз прислать мы ёлка дед мороз прислать мы ёлка огонёк зажечь блестеть иголка веточка снежок
"На мохнатых колких лапах На мохнатых колких лапах Елка в дом приносит запах: Запах хвои разогретой, Запах свежести и ветра, И заснеженного леса, И чуть слышный запах лета. ",мохнатый колкий лапа мохнатый колкий лапа ёлка дом приносить запах запах хвоя разогреть запах свежесть ветер заснеженный лес слышный запах лето
"Живи, елочка! Мне елку купили! Мне елку купили! В лесу на опушке ее не рубили. А сделали елку на добром заводе Хорошие дяди, веселые тети. Скорей приходите, Скорей поглядите На елку из тонких серебряных нитей: Вся в хвое мохнатой, Блестящей и пышной, Задень - И она зазвенит еле слышно. А елка лесная осталась живая, Стоит на опушке, Макушкой кивая. Кому? Никому! Просто ветру, метели, Такой же красивой Неспиленной ели! ",живить ёлочка ёлка купить ёлка купить лес опушка рубить сделать ёлка добрый завод хороший дядя весёлый тётя скорый приходить скорый поглядеть ёлка тонкий серебряный нить весь хвоя мохнатый блестящий пышный задеть зазвенеть еле слышный ёлка лесной остаться живой стоить опушка макушка кивать кто никто просто ветер метель красивый неспилить есть
"Сверкающая ёлка Засверкай огнями, ёлка, Нас на праздник позови. Все желания исполни, Все мечты осуществи! С Новым годом, С Новым годом Всех поздравим, А потом И походим хороводом, И станцуем, и споём. Дед Мороз стоит у ёлки, Пряча в бороду смешок. Не томи нас слишком долго, Развяжи скорей мешок! ",сверкать ёлка засверкать огонь ёлка праздник позвать желание исполнить мечта осуществить новый год новый год поздравить походить хоровод станцевать спеть дед мороз стоить ёлка прятать борода смешок томь слишком долго развязать скорый мешок
"Лучше нет суеты новогодней поры Новогоднюю ель осторожно несу И с почтением с ней обращаюсь, Когда в узкие двери лесную красу Занести, не поранив, пытаюсь. Мы готовим для елки красивый наряд И подарки внизу для детишек. Поступать так традиции наши велят. Их найдут возле веток и шишек. От вершины идут золотые шары. Еще дождик навешивать буду. Лучше нет суеты новогодней поры, Где все люди готовятся к чуду. (автор: Геннадий Малинский) ",суета новогодний пора новогодний ель осторожно нести почтение обращаться узкий дверь лесной краса занести поранить пытаться готовить ёлка красивый наряд подарок внизу детишки поступать традиция наш велеть найти возле ветка шишка вершина идти золотой шар дождик навешивать быть суета новогодний пора человек готовиться чудо автор геннадий малинский
"Новый год пришел! Новый год пришел! Ура!  Ты — как белый снег —  Праздник мира и добра  Раздели на всех!  Горе и печаль — развей!..  Вновь до января  По Земле лети резвей,  Счастье нам даря! ",новый год прийти новый год прийти ура белый снег праздник мир добро раздеть гора печаль развить вновь январь земля лететь резвый счастие мы дарить
"Здравствуй, Новый год! Снова пахнет свежей смолкой, Мы у елки собрались, Нарядилась наша елка, Огоньки на ней зажглись. Игры, шутки, песни, пляски! Там и тут мелькают маски... Ты - медведь, а я - лиса. Вот какие чудеса! Вместе встанем в хоровод, Здравствуй, здравствуй, Новый год! ",здравствуй новый год снова пахнуть свежеть смолка ёлка собраться нарядиться наш ёлка огонёк зажечься игра шутка песня пляска мелькать маска медведь лиса какой чудо вместе встать хоровод здравствуй здравствуй новый год
"Под Новый год Говорят: под Новый год Что ни пожелается – Все всегда произойдет, Все всегда сбывается. Могут даже у ребят Сбыться все желания, Нужно только, говорят, Приложить старания. Не лениться, не зевать И иметь терпение, И ученье не считать За свое мучение. ",новый год говорить новый год пожелаться произойти сбываться мочь ребята сбыться желание нужно говорить приложить старание лениться зевать иметь терпение учение считать свой мучение
"Самый лучший праздник Посмотри на календарь - Приближается январь. Это значит, Новый год Собирается в поход. Снег сверкает ярко-ярко, Мне и весело, и жарко. Это значит, что зимой - Самый лучший праздник мой. Мы сегодня так устали - Дома ёлку наряжали. Это значит, Новый год Обязательно придёт! ",самый хороший праздник посмотреть календарь приближаться январь это значит новый год собираться поход снег сверкать весело жарко это значит зимой самый хороший праздник сегодня устать дом ёлка наряжать это значит новый год обязательно прийти
"Зимняя сказка Зима обходит всю планету, И бродит сказка с ней по свету,  Под Новый Год заходит в дом И мы ее сегодня ждем.  Она уже в пути теперь.  И скоро постучится в дверь. ",зимний сказка зима обходить планета бродить сказка свет новый год заходить дом сегодня ждать путь скоро постучаться дверь
"Смешные игрушки На ёлочке нашей смешные игрушки:  Смешные ежи и смешные лягушки,  Смешные медведи, смешные олени,  Смешные моржи и смешные тюлени.  Мы тоже немножко в масках смешны,  Смешными мы Деду Морозу нужны,  Чтоб радостно было, чтоб слышался смех,  Ведь праздник сегодня веселый у всех!  ",смешной игрушка ёлочка наш смешной игрушка смешной ежи смешной лягушка смешной медведь смешной олень смешной морж смешной тюлень немножко маска смешной смешной дед мороз нужный радостно слышаться смех праздник сегодня весёлый
"Что такое Новый год? Что такое Новый год? Это дружный хоровод, Это смех ребят веселых Возле всех нарядных елок. Что такое Новый год? Всем известно наперед; Это дудочки и скрипки, Шутки, песни и улыбки. Тот, кто хочет, чтоб веселым Был бы этот Новый год, Пусть сегодня вместе с нами Песню звонкую поет! ",такой новый год такой новый год это дружный хоровод это смех ребята весёлый возле нарядный ёлка такой новый год весь известно наперёд это дудочка скрипка шутка песня улыбка хотеть весёлый новый год пусть сегодня вместе мы песня звонкий петь
Развеселый Новый Год Скоро в гости к нам придет Развеселый Новый Год! И подарков целый воз Приготовит Дед Мороз! Приходите к нам зверушки Приносите нам игрушки Будем ёлку наряжать! Будем праздник приближать! ,развесёлый новый год скоро гость мы прийти развесёлый новый год подарок целый воз приготовить дед мороз приходить мы зверушка приносить мы игрушка быть ёлка наряжать быть праздник приближать
"Светлый праздник Рождества Светлый праздник Рождества! Нет счастливей торжества! В ночь рождения Христова Над землёй зажглась Звезда. С той поры через столетья Нам она, как солнце светит. Согревает верой души, Чтобы мир стал краше, лучше. Дарит искры волшебства Светлый праздник Рождества! Мир приходит в каждый дом... Поздравляем с Рождеством! ",светлый праздник рождество светлый праздник рождество счастливый торжество ночь рождение христов земля зажечься звезда тот пора столетие мы солнце светить согревать вера душа мир стать красивый дарить искра волшебство светлый праздник рождество мир приходить каждый дом поздравлять рождество
"Родился Младенец Христос Есть страны, где люди от века не знают  Ни вьюг, ни сыпучих снегов; Там только нетающим снегом сверкают Вершины гранитных хребтов. Цветы там душистее, звезды крупнее, Светлей и нарядней весна, И ярче там перья у птиц, и теплее Там дышит морская волна. В такой вот стране ароматною ночью, При шепоте лавров и роз Свершилось желанное чудо воочью: Родился Младенец Христос. ",родиться младенец христос страна человек век знать вьюга сыпучий снег нетающий снег сверкать вершина гранитный хребет цветок душистый звезда крупный светлеть нарядный весна яркий перо птица тёплый дышать морской волна страна ароматный ночью шёпот лавров роза свершиться желанный чудо воочью родиться младенец христос
